season,GW,team,opponent_team,fixture,round,was_home,team_score,opponent_score,Goal Difference
2016-17,1,Burnley,Swansea,1,1,TRUE,0,1,-1
2016-17,1,Swansea,Burnley,1,1,FALSE,1,0,1
2016-17,1,Crystal Palace,West Brom,2,1,TRUE,0,1,-1
2016-17,1,West Brom,Crystal Palace,2,1,FALSE,1,0,1
2016-17,1,Everton,Spurs,3,1,TRUE,1,1,0
2016-17,1,Spurs,Everton,3,1,FALSE,1,1,0
2016-17,1,Hull,Leicester,4,1,TRUE,2,1,1
2016-17,1,Leicester,Hull,4,1,FALSE,1,2,-1
2016-17,1,Sunderland,Man City,5,1,FALSE,1,2,-1
2016-17,1,Man City,Sunderland,5,1,TRUE,2,1,1
2016-17,1,Middlesbrough,Stoke,6,1,TRUE,1,1,0
2016-17,1,Stoke,Middlesbrough,6,1,FALSE,1,1,0
2016-17,1,Watford,Southampton,7,1,FALSE,1,1,0
2016-17,1,Southampton,Watford,7,1,TRUE,1,1,0
2016-17,1,Arsenal,Liverpool,8,1,TRUE,3,4,-1
2016-17,1,Liverpool,Arsenal,8,1,FALSE,4,3,1
2016-17,1,Bournemouth,Man Utd,9,1,TRUE,1,3,-2
2016-17,1,Man Utd,Bournemouth,9,1,FALSE,3,1,2
2016-17,1,West Ham,Chelsea,10,1,FALSE,1,2,-1
2016-17,1,Chelsea,West Ham,10,1,TRUE,2,1,1
2016-17,2,Man Utd,Southampton,11,2,TRUE,2,0,2
2016-17,2,Southampton,Man Utd,11,2,FALSE,0,2,-2
2016-17,2,Liverpool,Burnley,12,2,FALSE,0,2,-2
2016-17,2,Burnley,Liverpool,12,2,TRUE,2,0,2
2016-17,2,Arsenal,Leicester,13,2,FALSE,0,0,0
2016-17,2,Leicester,Arsenal,13,2,TRUE,0,0,0
2016-17,2,Man City,Stoke,14,2,FALSE,4,1,3
2016-17,2,Stoke,Man City,14,2,TRUE,1,4,-3
2016-17,2,Hull,Swansea,15,2,FALSE,2,0,2
2016-17,2,Swansea,Hull,15,2,TRUE,0,2,-2
2016-17,2,Crystal Palace,Spurs,16,2,FALSE,0,1,-1
2016-17,2,Spurs,Crystal Palace,16,2,TRUE,1,0,1
2016-17,2,Watford,Chelsea,17,2,TRUE,1,2,-1
2016-17,2,Chelsea,Watford,17,2,FALSE,2,1,1
2016-17,2,Everton,West Brom,18,2,FALSE,2,1,1
2016-17,2,West Brom,Everton,18,2,TRUE,1,2,-1
2016-17,2,Middlesbrough,Sunderland,19,2,FALSE,2,1,1
2016-17,2,Sunderland,Middlesbrough,19,2,TRUE,1,2,-1
2016-17,2,West Ham,Bournemouth,20,2,TRUE,1,0,1
2016-17,2,Bournemouth,West Ham,20,2,FALSE,0,1,-1
2016-17,3,Burnley,Chelsea,21,3,FALSE,0,3,-3
2016-17,3,Chelsea,Burnley,21,3,TRUE,3,0,3
2016-17,3,Bournemouth,Crystal Palace,22,3,FALSE,1,1,0
2016-17,3,Crystal Palace,Bournemouth,22,3,TRUE,1,1,0
2016-17,3,Everton,Stoke,23,3,TRUE,1,0,1
2016-17,3,Stoke,Everton,23,3,FALSE,0,1,-1
2016-17,3,Hull,Man Utd,24,3,TRUE,0,1,-1
2016-17,3,Man Utd,Hull,24,3,FALSE,1,0,1
2016-17,3,Leicester,Swansea,25,3,TRUE,2,1,1
2016-17,3,Swansea,Leicester,25,3,FALSE,1,2,-1
2016-17,3,Sunderland,Southampton,26,3,FALSE,1,1,0
2016-17,3,Southampton,Sunderland,26,3,TRUE,1,1,0
2016-17,3,Liverpool,Spurs,27,3,FALSE,1,1,0
2016-17,3,Spurs,Liverpool,27,3,TRUE,1,1,0
2016-17,3,Arsenal,Watford,28,3,FALSE,3,1,2
2016-17,3,Watford,Arsenal,28,3,TRUE,1,3,-2
2016-17,3,West Ham,Man City,29,3,FALSE,1,3,-2
2016-17,3,Man City,West Ham,29,3,TRUE,3,1,2
2016-17,3,Middlesbrough,West Brom,30,3,FALSE,0,0,0
2016-17,3,West Brom,Middlesbrough,30,3,TRUE,0,0,0
2016-17,4,Arsenal,Southampton,31,4,TRUE,2,1,1
2016-17,4,Southampton,Arsenal,31,4,FALSE,1,2,-1
