Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type,Dataset,Column Name,Data Type
data1,name,object,data2,name,object,data3,name,object,data4,name,object,data5,name,object,data6,name,object,data7,name,object,data8,name,object
data1,assists,int64,data2,assists,int64,data3,assists,int64,data4,assists,int64,data5,position,object,data6,position,object,data7,position,object,data8,position,object
data1,attempted_passes,int64,data2,attempted_passes,int64,data3,attempted_passes,int64,data4,bonus,int64,data5,team,object,data6,team,object,data7,team,object,data8,team,object
data1,big_chances_created,int64,data2,big_chances_created,int64,data3,big_chances_created,int64,data4,bps,int64,data5,xP,float64,data6,xP,float64,data7,xP,float64,data8,xP,float64
data1,big_chances_missed,int64,data2,big_chances_missed,int64,data3,big_chances_missed,int64,data4,clean_sheets,int64,data5,assists,int64,data6,assists,int64,data7,assists,int64,data8,assists,int64
data1,bonus,int64,data2,bonus,int64,data3,bonus,int64,data4,creativity,float64,data5,bonus,int64,data6,bonus,int64,data7,bonus,int64,data8,bonus,int64
data1,bps,int64,data2,bps,int64,data3,bps,int64,data4,element,int64,data5,bps,int64,data6,bps,int64,data7,bps,int64,data8,bps,int64
data1,clean_sheets,int64,data2,clean_sheets,int64,data3,clean_sheets,int64,data4,fixture,int64,data5,clean_sheets,int64,data6,clean_sheets,int64,data7,clean_sheets,int64,data8,clean_sheets,int64
data1,clearances_blocks_interceptions,int64,data2,clearances_blocks_interceptions,int64,data3,clearances_blocks_interceptions,int64,data4,goals_conceded,int64,data5,creativity,float64,data6,creativity,float64,data7,creativity,float64,data8,creativity,float64
data1,completed_passes,int64,data2,completed_passes,int64,data3,completed_passes,int64,data4,goals_scored,int64,data5,element,int64,data6,element,int64,data7,element,int64,data8,element,int64
data1,creativity,float64,data2,creativity,float64,data3,creativity,float64,data4,ict_index,float64,data5,fixture,int64,data6,fixture,int64,data7,expected_assists,float64,data8,expected_assists,float64
data1,dribbles,int64,data2,dribbles,int64,data3,dribbles,int64,data4,influence,float64,data5,goals_conceded,int64,data6,goals_conceded,int64,data7,expected_goal_involvements,float64,data8,expected_goal_involvements,float64
